"id","hashtag"
"8","ipad"
"9","macbook"
"10","iphone"
"11","headphones"
"12","processor"
"13","laptop"
"14","sweater"
"15","shirt"
"16","jacket"
"17","pants"
"18","shorts"
"19","earrings"
"20","ring"
"21","necklace"
"22","perfume"
"23","cologne"
"24","microsoft"
"25","samsung"
"26","lg"
"27","sony"
"id","hashtag_id","tweet","tweet_id"
"2585","9","Please Retweet.

Win a #MacBook Pro ($2,500 Value)!

#gamer #gaming #gamergirl #ps4 #xbox #switch #fortnite #win #contest #giveaway #sweepstakes #sorteo 

https://t.co/5ZdS4e0u3h","1333937078971871238"
"2586","9","Please Retweet.

Win a 16"" #MacBook Pro (2.3GHz 1 TB Hard Drive) ($2,599 USD) --- Open Worldwide! 🌎

#gamer #gaming #gamergirl #ps5 #xbox #switch #fortnite #win #contest #giveaway #sweepstakes #sorteo #XboxSeriesX

https://t.co/069an5sb4e","1333933605698084864"
"2587","9","Now I’ve got to buy a #MacBook for design 😩 I’ve sold my lil #luddite soul","1333921621506080768"
"2588","9","RT @DarrelllWagoner: Working on bettering my @creativecloud  Illustator skills #Adobe #Illustrator #Creative #GraphicDesign #goals #tutoria…","1333920488884723714"
"2589","9","Working on bettering my @creativecloud  Illustator skills #Adobe #Illustrator #Creative #GraphicDesign #goals #tutorials #bird #create #art #artist #artwork #image #vector #skills #work #ambition #portfolio #macbook #apple #photoshop https://t.co/fUtQS9WWCp","1333920391757172736"
"2590","9","@IndigenousAI Stories like this, and my own iPhone 2nd generation experience, are what has kept me from buying a #macbook, #MacBookPro , or any other of their beautiful computers. If @Apple hired good retail ppl, ""geniuses"", etc., imagine what that brand could do. But no.","1333918088216141825"
"2591","9","@Apple I just bought a new MacBook my other died, like my faith in these greedy companies. $1500 I didn’t need to spend now! Of course nothing compatible from last Mac and it had no MSB ports! I had to buy attachment for $100! For ports! You don’t get any xtra shit from #MacBook","1333913222773137409"
"2592","9","Dear Santa 🎅🏻 

I know I haven’t been good this year but please please....

Whatever, I’ll buy it myself 🤪

#macbook #m1","1333912528334753796"
"2593","9","RT @professorgreen: @mcjaystar nah, finger to keys. #macbook","1333906897120989186"
"2594","9","RT @ktaraszk: Once my #Apple #m1 powered #Macbook is here, I'll try to run #Bochs IA-32 Emulator on it. It should work. Crazy times. Who re…","1333903067377508355"
"2595","9","Once my #Apple #m1 powered #Macbook is here, I'll try to run #Bochs IA-32 Emulator on it. It should work. Crazy times. Who remembers #Plex86 / #FreeMWare? Damn, I am old! https://t.co/lujvxE5NN1","1333903007944216576"
"2596","9","RT @MacClassifieds: 2019 15"" 2.3GHz 8-Core #Apple #MacBook Pro, refurbished, for $2209 at Apple. $490 off! Free ship, 1-yr warranty https:/…","1333902114158833664"
"2597","9","2019 15"" 2.3GHz 8-Core #Apple #MacBook Pro, refurbished, for $2209 at Apple. $490 off! Free ship, 1-yr warranty https://t.co/RFz3ilQoOh","1333901234009477127"
"2598","9","NEW #MacBook Air- 256GB SSD for $899!! (#retail $1,000)            
        
 #Deal #ganga

 https://t.co/f2S7dqFymA https://t.co/pWDleXN4kl","1333893000200671233"
"2599","9","RT @sturika: @UPS pls hurry I'm waiting very patiently by my door for my son, Greg. #macbook https://t.co/sfcQX5Zy48","1333892243451736064"
"2600","9","Three more weeks until my new #macbook arrives. Has anyone have any trouble setting up #VSCode on the M1 MacBooks?","1333891879302139909"
"2601","9","Our Black Friday Sale is LIVE. Shop now to get 20% OFF. Offer ENDS TODAY, December 1st. Take advantage of this opportunity and shop all of your favorite Apple Keyboards with software shortcuts and needs. 💻 COUPON: BLACKFRIDAY2020
#KBCovers #Macbook #Apple #KeyboardCover #BLACKF https://t.co/uMnLopEdjR","1333889365878001675"
"2602","9","Tiny things that irritate: you download the new #MacOS as soon as available and wait for the installation to complete. You find out that the big change is that your Mac overheats and the battery dies about 50% sooner. And it's #MacBook Pro from 2019. Not supposed to die yet.","1333889308781146114"
"2603","9","Our Black Friday Sale is LIVE! 💻⌨️ 🦃 OFFER ENDS TODAY, DEC 1st. Shop our keyboards and keyboard covers for 20% off using coupon code BLACKFRIDAY2020. 
.
#KBCovers #Macbook #Apple #KeyboardCover #BlackFriday #BlackFridaySale #20PercentOff #AppleProductsOnly https://t.co/5W27DBiHkq","1333888609942847496"
"2604","9","RT @CheapMac: 2020 13"" Intel 1.4GHz/512GB #Apple #MacBook Pro for $1229, refurbished, at Apple. $270 off. Free ship, 1-yr warranty https://…","1333881166135439361"
"2605","9","2020 13"" Intel 1.4GHz/512GB #Apple #MacBook Pro for $1229, refurbished, at Apple. $270 off. Free ship, 1-yr warranty https://t.co/DoFPyxdonc","1333881064847241219"
"2606","9","RT @MacBookShopper: 2020 13"" Intel 4-Core #Apple #MacBook Airs for $1099 at B&amp;H, $200 off MSRP. Free ship. https://t.co/1xkH31HATg","1333879036104364035"
"2607","9","2020 13"" Intel 4-Core #Apple #MacBook Airs for $1099 at B&amp;H, $200 off MSRP. Free ship. https://t.co/1xkH31HATg","1333878925429248000"
